CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion
13300,36,Female,47648.0,Email,Consideration,893.7554921892273,0.1320783521671211,0.198063238004885,38,6.900081279082164,11.923315803211418,9,3,6.0,1,1139,1
10557,52,Male,83830.0,Referral,Awareness,7720.360685483039,0.12547155754765,0.0821969116242446,35,7.403157315189568,0.660580775609626,29,1,3.0,0,3611,1
12602,52,Male,116342.0,Social Media,Consideration,8337.45315727269,0.1587391029145917,0.0890315415198352,25,9.367089698042356,12.218421391536976,72,3,7.0,4,1173,1
8592,58,Female,90994.0,Email,Retention,5273.098832292671,0.2260536296864712,0.0997920580889575,13,7.968767243046189,4.894079039357248,41,16,7.0,0,1102,1
9926,28,Male,,PPC,Conversion,6140.692084655652,0.2905087704798112,0.0614307961173447,8,2.342392878242101,,79,17,3.0,7,902,1
8926,25,Male,45493.0,SEO,Retention,9580.333882970706,0.1810498499302489,0.1052054949801376,7,4.205542897270778,3.870341253173681,37,11,6.0,2,3157,1
8934,44,Male,56253.0,PPC,Consideration,7257.788852501013,0.0590533057359565,0.1391601342251824,14,8.027403479759203,1.5558118186572767,34,12,1.0,4,3289,1
14022,33,Female,127318.0,Social Media,Conversion,1893.8409330689187,0.0619411881338169,0.1112062716066885,5,4.82909321859696,11.94846285359456,13,7,0.0,2,4968,1
10706,59,Female,108909.0,Referral,Conversion,526.0384147362745,0.0355776095016789,0.1030914164451182,25,9.62518445988462,11.462090430714332,89,10,9.0,0,374,1
15972,33,Female,148646.0,Referral,Awareness,1436.3711882043283,0.2306754515364891,0.1488147939035811,33,6.989285627326745,11.449375440923465,27,2,0.0,0,2623,0
8375,45,Female,96023.0,Social Media,Retention,7824.310334802829,0.2457398507830535,0.1739186924929686,29,1.1248036430060102,2.05332568839363,18,1,0.0,5,4605,1
11263,23,Male,78507.0,Referral,Conversion,8849.97,0.1515602875726811,0.1734168853788656,27,6.196954292930334,3.58399327307202,71,17,4.0,8,1898,1
9861,48,Female,108487.0,Social Media,Retention,656.0450289941009,0.0806422472565916,0.0458822211872611,5,5.8094967672662845,13.519665321156223,94,11,3.0,4,3293,1
12139,55,Female,134063.0,PPC,Conversion,4705.901372073763,0.0137087793331057,0.0291447029670435,38,9.375322845613727,1.0851243101163632,28,17,8.0,2,4318,1
13151,42,Female,131157.0,PPC,Awareness,4120.373582525753,0.2373219212930169,0.0846509118919405,39,2.9123904473162217,7.942777074093934,60,6,2.0,6,237,1
8553,49,Male,47260.0,PPC,Consideration,5800.875973245347,0.191572532383702,0.079329312056168,28,4.01586556030286,12.88913591039398,15,5,2.0,8,3227,1
15950,50,Female,51308.0,PPC,Retention,5925.401061982387,0.0873896235338345,0.0359254532591328,13,3.3849422733217907,10.27731371944986,42,12,2.0,4,3223,0
14378,21,Female,60533.0,Email,Awareness,285.5374706897695,0.113687151993537,0.0722483481980922,32,6.74628568441904,8.534646512515565,10,16,5.0,0,2720,1
14751,36,Female,140992.0,SEO,Conversion,5531.017384041029,0.1097838385578028,0.0295135014614956,42,9.70911821192395,4.910549053486093,80,2,5.0,6,4518,1
11667,39,Female,33635.0,PPC,Conversion,722.2476074615228,0.1965352806603355,0.0641400879767029,20,2.4360933917599583,13.34787002677223,83,3,0.0,0,2974,1
15131,62,Male,111530.0,,Conversion,4148.846501966422,0.1252074015773418,0.0409117732515776,12,6.226189352043387,11.83508533529696,5,11,3.0,8,441,1
